Token,Count,Category
match,37,JavaScript
Doc,37,Ruby
field,37,JavaScript
pageY,37,JavaScript
filter,37,JavaScript
content,37,JavaScript
dir,37,JavaScript
should,37,JavaScript
min,37,CSS
buttonMarkup,37,JavaScript
inset,37,CSS
sure,37,JavaScript
focus,37,CSS
panel,37,JavaScript
image,37,Ruby
min,37,JavaScript
touch,36,JavaScript
meta,36,ERB
content,36,ERB
indexOf,36,JavaScript
last,36,JavaScript
in,36,CSS
gem,36,Ruby
text_field,36,ERB
controlsInput,36,JavaScript
search,36,JavaScript
comments,36,Ruby
split,35,Ruby
browsers,35,JavaScript
setTimeout,35,JavaScript
DOM,35,JavaScript
after,35,JavaScript
and,35,CSS
auto,35,CSS
at,35,JavaScript
none,35,JavaScript
max,35,JavaScript
class_name,35,Ruby
select_note,35,Ruby
//=,35,JavaScript
desc,35,Ruby
listview,35,CSS
of,35,Ruby
any,34,JavaScript
ip,34,Ruby
activeBtnClass,34,JavaScript
uid,34,Ruby
use,34,Ruby
changePage,34,JavaScript
Article,34,Ruby
corners,34,JavaScript
is,34,Ruby
used,34,JavaScript
but,34,JavaScript
ma_display,34,Ruby
created_at,34,Ruby
z,34,CSS
code,34,JavaScript
wrapper,34,JavaScript
loading,33,JavaScript
></,33,JavaScript
toPage,33,JavaScript
The,33,YAML
up,33,JavaScript
current,33,JavaScript
clone,33,JavaScript
of,33,YAML
url,33,Ruby
a,33,YAML
disable,33,JavaScript
abs,33,JavaScript
before,33,Ruby
index,32,CSS
render,32,Ruby
_ui,32,JavaScript
do,32,ERB
get,32,JavaScript
scroller,32,JavaScript
aria,32,JavaScript
placeholder,32,JavaScript
notice,32,Ruby
body,32,JavaScript
!!,32,JavaScript
using,32,JavaScript
inside,32,Ruby
head,32,ERB
ma_secured,32,Ruby
webfont,32,CSS
out,32,JavaScript
navbar,32,CSS
here,32,JavaScript
only,32,JavaScript
c,32,JavaScript
note_id,32,Ruby
special,31,JavaScript
line,31,CSS
re,31,JavaScript
do,31,JavaScript
into,31,JavaScript
there,31,JavaScript
split,31,JavaScript
count,31,Ruby
classes,31,JavaScript
form,31,CSS
has,31,CSS
submit,31,JavaScript
number,31,JavaScript
before,31,JavaScript
rel,31,JavaScript
row,31,CSS
note,30,ERB
user,30,ERB
assets,30,Ruby
was,30,JavaScript
mv,30,Ruby
URL,30,JavaScript
SarabunPSK,30,CSS
found_date,30,JavaScript
result,30,Ruby
be,30,Ruby
elements,30,JavaScript
thisPage,30,JavaScript
Content,30,ERB
fields_for,30,ERB
error,30,JavaScript
TH,30,CSS
description,30,Ruby
jqueryvalidation,30,JavaScript
by,30,Ruby
attribute,29,JavaScript
js,29,Ruby
matches,29,JavaScript
inline,29,JavaScript
ma_log,29,Ruby
Math,29,JavaScript
arguments,29,JavaScript
arrow,29,CSS
exp_format,29,JavaScript
stack,29,JavaScript
update,29,Ruby
required,29,JavaScript
root,29,Ruby
auto,29,JavaScript
per,29,Ruby
selected,29,JavaScript
inset,29,JavaScript
all,29,Ruby
fixed,28,JavaScript
y,28,ERB
show,28,Ruby
parseFloat,28,JavaScript
hide,28,JavaScript
icon,28,Ruby
jinda_org,28,Ruby
touches,28,JavaScript
eventType,28,JavaScript
select_tag,28,ERB
out,28,CSS
dscan,28,ERB
to_s,28,Ruby
where,28,JavaScript
on,28,CSS
now,28,JavaScript
its,28,JavaScript
documentUrl,28,JavaScript
popover,28,JavaScript
require_relative,28,Ruby
mail,28,Ruby
className,28,JavaScript
keyCode,28,JavaScript
initial,28,JavaScript
true,28,YAML
br,28,ERB
gmail,28,Ruby
vertical,28,CSS
t,28,Ruby
blur,27,JavaScript
outline,27,CSS
defined,27,JavaScript
while,27,JavaScript
container,27,CSS
response,27,Ruby
plugin,27,JavaScript
version,27,JavaScript
message,27,Ruby
object_name,27,Ruby
scrollTop,27,JavaScript
Gemfile,27,Ruby
+=,27,JavaScript
px,27,JavaScript
rule,27,Ruby
documentBase,27,JavaScript
then,27,JavaScript
exp_temp,27,JavaScript
options,27,Ruby
post,27,Ruby
bindings,27,JavaScript
z,27,JavaScript
because,27,JavaScript
our,27,JavaScript
article_id,27,Ruby
file,27,JavaScript
buttonElements,27,JavaScript
format,27,Ruby
runseq_id,26,Ruby
We,26,JavaScript
init,26,JavaScript
selector,26,JavaScript
run,26,Ruby
white,26,CSS
decoration,26,CSS
exp_input,26,JavaScript
pickerHour,26,JavaScript
ui,26,ERB
current_ma_user,26,ERB
protocol,26,JavaScript
now,26,Ruby
allow,26,JavaScript
elem,26,JavaScript
last,26,CSS
footer,25,JavaScript
attributes,25,Ruby
relative,25,CSS
import,25,CSS
json,25,Ruby
that,25,Ruby
spec,25,Ruby
+=,25,Ruby
load,25,JavaScript
normal,25,CSS
bar,25,JavaScript
args,25,JavaScript
result,25,JavaScript
pid,25,Ruby
mouse,25,JavaScript
subject,25,Ruby
pickerDay,25,JavaScript
ajax,25,JavaScript
divider,25,JavaScript
all,24,ERB
DatabaseCleaner,24,Ruby
created_at,24,ERB
toggleClass,24,JavaScript
desc,24,ERB
same,24,JavaScript
toLowerCase,24,JavaScript
callback,24,JavaScript
filename,24,Ruby
count,24,CSS
translateY,24,CSS
data,24,Ruby
nil,24,Ruby
input,24,ERB
format,24,CSS
ceFFFF,24,CSS
dragEnd,24,JavaScript
u,24,JavaScript
maxScrollY,24,JavaScript
sizing,24,CSS
winCoords,24,JavaScript
TEXT,24,Ruby
you,24,JavaScript
stop,24,JavaScript
createElement,23,JavaScript
may,23,JavaScript
ENV,23,Ruby
articles,23,Ruby
<<,23,Ruby
dur_comps,23,JavaScript
resources,23,Ruby
&,23,JavaScript
Timestamps,23,Ruby
maxScrollX,23,JavaScript
don,23,JavaScript
